instance,nodes,solved,done_reason,makespan,lowerbound
J6010_1.RCP,42730,0,time_limit,90,85
J6010_10.RCP,138,1,search_exhausted,73,73
J6010_2.RCP,37569,0,time_limit,77,62
J6010_3.RCP,31962,0,time_limit,77,72
J6010_4.RCP,33764,0,time_limit,84,80
J6010_5.RCP,36804,0,time_limit,95,79
J6010_6.RCP,36551,0,time_limit,83,67
J6010_7.RCP,32721,0,time_limit,85,69
J6010_8.RCP,35614,0,time_limit,85,64
J6010_9.RCP,34199,0,time_limit,84,73
J6011_1.RCP,62,1,search_exhausted,71,71
J6011_10.RCP,35817,0,time_limit,60,58
J6011_2.RCP,32974,0,time_limit,68,61
J6011_3.RCP,62,1,search_exhausted,76,76
J6011_4.RCP,39156,0,time_limit,82,69
J6011_5.RCP,28293,0,time_limit,73,65
J6011_6.RCP,33383,0,time_limit,73,70
J6011_7.RCP,62,1,search_exhausted,70,70
J6011_8.RCP,62,1,search_exhausted,69,69
J6011_9.RCP,32863,0,time_limit,64,62
J6012_1.RCP,62,1,search_exhausted,59,59
J6012_10.RCP,62,1,search_exhausted,79,79
J6012_2.RCP,62,1,search_exhausted,58,58
J6012_3.RCP,62,1,search_exhausted,75,75
J6012_4.RCP,62,1,search_exhausted,69,69
J6012_5.RCP,62,1,search_exhausted,63,63
J6012_6.RCP,62,1,search_exhausted,54,54
J6012_7.RCP,62,1,search_exhausted,71,71
J6012_8.RCP,62,1,search_exhausted,60,60
J6012_9.RCP,62,1,search_exhausted,59,59
J6013_1.RCP,49782,0,time_limit,141,69
J6013_10.RCP,43471,0,time_limit,147,63
J6013_2.RCP,43626,0,time_limit,130,66
J6013_3.RCP,45647,0,time_limit,107,57
J6013_4.RCP,39064,0,time_limit,130,62
J6013_5.RCP,41278,0,time_limit,120,53
J6013_6.RCP,40764,0,time_limit,122,61
J6013_7.RCP,37296,0,time_limit,107,54
J6013_8.RCP,43006,0,time_limit,149,69
J6013_9.RCP,40036,0,time_limit,126,67
J6014_1.RCP,40059,0,time_limit,77,59
J6014_10.RCP,38440,0,time_limit,82,67
J6014_2.RCP,37094,0,time_limit,67,65
J6014_3.RCP,41723,0,time_limit,79,61
J6014_4.RCP,47127,0,time_limit,78,65
J6014_5.RCP,41152,0,time_limit,66,59
J6014_6.RCP,45082,0,time_limit,76,65
J6014_7.RCP,32927,0,time_limit,89,69
J6014_8.RCP,62,1,search_exhausted,88,88
J6014_9.RCP,34856,0,time_limit,69,61
J6015_1.RCP,62,1,search_exhausted,84,84
J6015_10.RCP,32718,0,time_limit,65,61
J6015_2.RCP,39313,0,time_limit,91,89
J6015_3.RCP,62,1,search_exhausted,72,72
J6015_4.RCP,62,1,search_exhausted,75,75
J6015_5.RCP,41949,0,time_limit,72,70
J6015_6.RCP,28826,0,time_limit,79,76
J6015_7.RCP,18335,1,search_exhausted,64,64
J6015_8.RCP,62,1,search_exhausted,79,79
J6015_9.RCP,62,1,search_exhausted,72,72
J6016_1.RCP,62,1,search_exhausted,64,64
J6016_10.RCP,62,1,search_exhausted,68,68
J6016_2.RCP,62,1,search_exhausted,64,64
J6016_3.RCP,62,1,search_exhausted,53,53
J6016_4.RCP,62,1,search_exhausted,60,60
J6016_5.RCP,62,1,search_exhausted,66,66
J6016_6.RCP,62,1,search_exhausted,66,66
J6016_7.RCP,62,1,search_exhausted,82,82
J6016_8.RCP,62,1,search_exhausted,68,68
J6016_9.RCP,62,1,search_exhausted,54,54
J6017_1.RCP,43394,0,time_limit,103,76
J6017_10.RCP,37773,0,time_limit,92,65
J6017_2.RCP,37514,0,time_limit,77,67
J6017_3.RCP,41014,0,time_limit,101,79
J6017_4.RCP,37924,0,time_limit,73,69
J6017_5.RCP,40100,0,time_limit,63,52
J6017_6.RCP,39723,0,time_limit,78,67
J6017_7.RCP,40505,0,time_limit,111,81
J6017_8.RCP,42302,0,time_limit,95,66
J6017_9.RCP,39082,0,time_limit,92,70
J6018_1.RCP,37357,0,time_limit,81,80
J6018_10.RCP,62,1,search_exhausted,97,97
J6018_2.RCP,36012,0,time_limit,71,69
J6018_3.RCP,35737,0,time_limit,78,77
J6018_4.RCP,31602,0,time_limit,77,71
J6018_5.RCP,2295,1,search_exhausted,80,80
J6018_6.RCP,62,1,search_exhausted,61,61
J6018_7.RCP,40637,0,time_limit,96,87
J6018_8.RCP,62,1,search_exhausted,78,78
J6018_9.RCP,34646,0,time_limit,75,69
J6019_1.RCP,90,1,search_exhausted,62,62
J6019_10.RCP,62,1,search_exhausted,78,78
J6019_2.RCP,62,1,search_exhausted,83,83
J6019_3.RCP,32766,0,time_limit,83,81
