instance,nodes,solved,done_reason,makespan,lowerbound
AD_inst1.rcp,9603,1,search_exhausted,46,46
AD_inst100001.rcp,62690,0,time_limit,105,40
AD_inst10001.rcp,93,1,search_exhausted,95,95
AD_inst1001.rcp,40080,0,time_limit,38,33
AD_inst101001.rcp,49176,0,time_limit,61,33
AD_inst102001.rcp,10378,1,search_exhausted,120,120
AD_inst103001.rcp,42877,0,time_limit,87,71
AD_inst104001.rcp,75815,0,time_limit,99,40
AD_inst105001.rcp,54034,0,time_limit,66,33
AD_inst106001.rcp,7957,1,search_exhausted,121,121
AD_inst107001.rcp,40069,0,time_limit,85,71
AD_inst108001.rcp,70233,0,time_limit,90,40
AD_inst109001.rcp,57818,0,time_limit,71,33
AD_inst110001.rcp,1285,1,search_exhausted,106,106
AD_inst11001.rcp,32,1,search_exhausted,71,71
AD_inst111001.rcp,46816,0,time_limit,87,71
AD_inst112001.rcp,76852,0,time_limit,99,40
AD_inst113001.rcp,53100,0,time_limit,64,33
AD_inst114001.rcp,11523,1,search_exhausted,117,117
AD_inst115001.rcp,44088,0,time_limit,87,71
AD_inst116001.rcp,75060,0,time_limit,90,40
AD_inst117001.rcp,59381,0,time_limit,73,33
AD_inst118001.rcp,8696,1,search_exhausted,115,115
AD_inst119001.rcp,45371,0,time_limit,76,71
AD_inst120001.rcp,72253,0,time_limit,111,40
AD_inst12001.rcp,61791,0,time_limit,44,40
AD_inst121001.rcp,58228,0,time_limit,65,33
AD_inst122001.rcp,60038,1,search_exhausted,127,127
AD_inst123001.rcp,44960,0,time_limit,81,71
AD_inst124001.rcp,75197,0,time_limit,86,40
AD_inst125001.rcp,52562,0,time_limit,61,33
AD_inst126001.rcp,2462,1,search_exhausted,121,121
AD_inst127001.rcp,43977,0,time_limit,91,71
AD_inst128001.rcp,73376,0,time_limit,106,40
AD_inst129001.rcp,53631,0,time_limit,62,33
AD_inst130001.rcp,2228,1,search_exhausted,112,112
AD_inst13001.rcp,3522,1,search_exhausted,33,33
AD_inst131001.rcp,35960,0,time_limit,87,71
AD_inst132001.rcp,75372,0,time_limit,106,40
AD_inst133001.rcp,47642,0,time_limit,64,33
AD_inst134001.rcp,9989,1,search_exhausted,113,113
AD_inst135001.rcp,38336,0,time_limit,81,71
AD_inst136001.rcp,71164,0,time_limit,87,40
AD_inst137001.rcp,62769,0,time_limit,66,33
AD_inst138001.rcp,33137,1,search_exhausted,135,135
AD_inst139001.rcp,42471,0,time_limit,98,71
AD_inst140001.rcp,72175,0,time_limit,102,40
AD_inst14001.rcp,32,1,search_exhausted,92,92
AD_inst141001.rcp,60589,0,time_limit,69,33
AD_inst142001.rcp,662,1,search_exhausted,102,102
AD_inst143001.rcp,45823,0,time_limit,79,71
AD_inst144001.rcp,75176,0,time_limit,99,40
AD_inst145001.rcp,62601,0,time_limit,72,33
AD_inst146001.rcp,1230,1,search_exhausted,108,108
AD_inst147001.rcp,44021,0,time_limit,89,71
AD_inst148001.rcp,69456,0,time_limit,96,40
AD_inst149001.rcp,54117,0,time_limit,60,33
AD_inst150001.rcp,3972,1,search_exhausted,113,113
AD_inst15001.rcp,32,1,search_exhausted,71,71
AD_inst151001.rcp,40719,0,time_limit,91,71
AD_inst152001.rcp,76610,0,time_limit,90,40
AD_inst153001.rcp,63247,0,time_limit,69,33
AD_inst154001.rcp,912,1,search_exhausted,101,101
AD_inst155001.rcp,44536,0,time_limit,87,71
AD_inst156001.rcp,76281,0,time_limit,79,40
AD_inst157001.rcp,60347,0,time_limit,65,33
AD_inst158001.rcp,1606,1,search_exhausted,116,116
AD_inst159001.rcp,40613,0,time_limit,86,71
AD_inst160001.rcp,81373,0,time_limit,124,40
AD_inst16001.rcp,9700,1,search_exhausted,41,41
AD_inst161001.rcp,62533,0,time_limit,82,33
AD_inst162001.rcp,111893,1,search_exhausted,121,121
AD_inst163001.rcp,53650,0,time_limit,117,71
AD_inst164001.rcp,95987,0,time_limit,143,40
AD_inst165001.rcp,60292,0,time_limit,73,33
AD_inst166001.rcp,133758,0,time_limit,152,92
AD_inst167001.rcp,48104,0,time_limit,114,71
AD_inst168001.rcp,90067,0,time_limit,134,40
AD_inst169001.rcp,66523,0,time_limit,90,33
AD_inst170001.rcp,133862,0,time_limit,153,92
AD_inst17001.rcp,2778,1,search_exhausted,33,33
AD_inst171001.rcp,52726,0,time_limit,115,71
AD_inst172001.rcp,95583,0,time_limit,147,40
AD_inst173001.rcp,76062,0,time_limit,97,33
AD_inst174001.rcp,42334,1,search_exhausted,130,130
AD_inst175001.rcp,49875,0,time_limit,109,71
AD_inst176001.rcp,82200,0,time_limit,138,40
AD_inst177001.rcp,74914,0,time_limit,95,33
AD_inst178001.rcp,133899,0,time_limit,145,92
AD_inst179001.rcp,45962,0,time_limit,106,71
AD_inst180001.rcp,82852,0,time_limit,127,40
AD_inst18001.rcp,212,1,search_exhausted,97,97
AD_inst181001.rcp,65080,0,time_limit,91,33
AD_inst182001.rcp,117203,0,time_limit,137,92
AD_inst183001.rcp,45133,0,time_limit,109,71
AD_inst184001.rcp,83504,0,time_limit,121,40
AD_inst185001.rcp,63897,0,time_limit,85,33
AD_inst186001.rcp,118073,0,time_limit,140,92
AD_inst187001.rcp,56001,0,time_limit,122,71
AD_inst188001.rcp,85437,0,time_limit,136,40
AD_inst189001.rcp,68095,0,time_limit,94,33
AD_inst190001.rcp,4837,1,search_exhausted,121,121
AD_inst19001.rcp,32,1,search_exhausted,71,71
AD_inst191001.rcp,55096,0,time_limit,111,71
AD_inst192001.rcp,83728,0,time_limit,133,40
AD_inst193001.rcp,74866,0,time_limit,83,33
AD_inst194001.rcp,130713,0,time_limit,142,92
AD_inst195001.rcp,46180,0,time_limit,102,71
AD_inst196001.rcp,90527,0,time_limit,141,40
AD_inst197001.rcp,68670,0,time_limit,88,33
AD_inst198001.rcp,127060,0,time_limit,139,92
AD_inst199001.rcp,48314,0,time_limit,119,71
AD_inst200001.rcp,81598,0,time_limit,140,40
AD_inst20001.rcp,3843,1,search_exhausted,41,41
AD_inst2001.rcp,157,1,search_exhausted,102,102
AD_inst201001.rcp,79161,0,time_limit,93,33
AD_inst202001.rcp,129802,0,time_limit,140,92
AD_inst203001.rcp,47949,0,time_limit,110,71
AD_inst204001.rcp,85020,0,time_limit,123,40
AD_inst205001.rcp,64158,0,time_limit,103,33
AD_inst206001.rcp,116744,0,time_limit,141,92
AD_inst207001.rcp,48006,0,time_limit,104,71
AD_inst208001.rcp,89747,0,time_limit,125,40
AD_inst209001.rcp,65933,0,time_limit,79,33
AD_inst210001.rcp,123001,0,time_limit,140,92
AD_inst21001.rcp,32,1,search_exhausted,33,33
AD_inst211001.rcp,43459,0,time_limit,100,71
AD_inst212001.rcp,86357,0,time_limit,135,40
AD_inst213001.rcp,81069,0,time_limit,91,33
AD_inst214001.rcp,67740,1,search_exhausted,125,125
AD_inst215001.rcp,41711,0,time_limit,95,71
AD_inst216001.rcp,84903,0,time_limit,118,40
AD_inst217001.rcp,70406,0,time_limit,84,33
AD_inst218001.rcp,58298,1,search_exhausted,131,131
AD_inst219001.rcp,52836,0,time_limit,109,71
AD_inst220001.rcp,91673,0,time_limit,128,40
AD_inst22001.rcp,126,1,search_exhausted,99,99
AD_inst221001.rcp,72876,0,time_limit,84,33
AD_inst222001.rcp,47463,1,search_exhausted,126,126
AD_inst223001.rcp,53906,0,time_limit,117,71
AD_inst224001.rcp,97234,0,time_limit,125,40
AD_inst225001.rcp,67985,0,time_limit,84,33
AD_inst226001.rcp,118186,0,time_limit,128,92
AD_inst227001.rcp,45171,0,time_limit,104,71
AD_inst228001.rcp,92193,0,time_limit,133,40
AD_inst229001.rcp,60273,0,time_limit,93,33
AD_inst230001.rcp,71290,1,search_exhausted,132,132
AD_inst23001.rcp,32,1,search_exhausted,71,71
AD_inst231001.rcp,51325,0,time_limit,120,71
AD_inst232001.rcp,101221,0,time_limit,131,40
AD_inst233001.rcp,68712,0,time_limit,98,33
AD_inst234001.rcp,118414,0,time_limit,130,92
AD_inst235001.rcp,50363,0,time_limit,109,71
AD_inst236001.rcp,92434,0,time_limit,133,40
AD_inst237001.rcp,64344,0,time_limit,88,33
AD_inst238001.rcp,122913,0,time_limit,146,92
AD_inst239001.rcp,52792,0,time_limit,120,71
AD_inst240001.rcp,80524,0,time_limit,96,40
AD_inst24001.rcp,6209,1,search_exhausted,46,46
AD_inst241001.rcp,60688,0,time_limit,58,33
AD_inst242001.rcp,133,1,search_exhausted,99,99
AD_inst243001.rcp,11936,1,search_exhausted,71,71
AD_inst244001.rcp,68687,0,time_limit,68,40
AD_inst245001.rcp,58034,0,time_limit,60,33
AD_inst246001.rcp,367,1,search_exhausted,101,101
AD_inst247001.rcp,43396,0,time_limit,85,71
AD_inst248001.rcp,72378,0,time_limit,81,40
AD_inst249001.rcp,54149,0,time_limit,61,33
AD_inst250001.rcp,1649,1,search_exhausted,98,98
AD_inst25001.rcp,54276,0,time_limit,41,33
AD_inst251001.rcp,45196,0,time_limit,85,71
