instance,nodes,solved,done_reason,makespan,lowerbound
AD_inst1.rcp,9603,1,search_exhausted,46,46
AD_inst100001.rcp,35507,0,time_limit,105,40
AD_inst10001.rcp,93,1,search_exhausted,95,95
AD_inst1001.rcp,25667,0,time_limit,38,33
AD_inst101001.rcp,36706,0,time_limit,61,33
AD_inst102001.rcp,10378,1,search_exhausted,120,120
AD_inst103001.rcp,30991,0,time_limit,87,71
AD_inst104001.rcp,46160,0,time_limit,99,40
AD_inst105001.rcp,40228,0,time_limit,66,33
AD_inst106001.rcp,7957,1,search_exhausted,121,121
AD_inst107001.rcp,28128,0,time_limit,93,71
AD_inst108001.rcp,43106,0,time_limit,90,40
AD_inst109001.rcp,40570,0,time_limit,71,33
AD_inst110001.rcp,1285,1,search_exhausted,106,106
AD_inst11001.rcp,32,1,search_exhausted,71,71
AD_inst111001.rcp,32781,0,time_limit,87,71
AD_inst112001.rcp,48547,0,time_limit,99,40
AD_inst113001.rcp,39426,0,time_limit,64,33
AD_inst114001.rcp,11523,1,search_exhausted,117,117
AD_inst115001.rcp,32045,0,time_limit,87,71
AD_inst116001.rcp,47947,0,time_limit,90,40
AD_inst117001.rcp,45692,0,time_limit,73,33
AD_inst118001.rcp,8696,1,search_exhausted,115,115
AD_inst119001.rcp,31688,0,time_limit,76,71
AD_inst120001.rcp,43423,0,time_limit,111,40
AD_inst12001.rcp,34682,0,time_limit,47,40
AD_inst121001.rcp,43248,0,time_limit,65,33
AD_inst122001.rcp,60038,1,search_exhausted,127,127
AD_inst123001.rcp,31105,0,time_limit,81,71
AD_inst124001.rcp,47400,0,time_limit,86,40
AD_inst125001.rcp,38506,0,time_limit,61,33
AD_inst126001.rcp,2462,1,search_exhausted,121,121
AD_inst127001.rcp,31014,0,time_limit,91,71
AD_inst128001.rcp,42081,0,time_limit,106,40
AD_inst129001.rcp,36876,0,time_limit,62,33
AD_inst130001.rcp,2228,1,search_exhausted,112,112
AD_inst13001.rcp,3522,1,search_exhausted,33,33
AD_inst131001.rcp,25384,0,time_limit,87,71
AD_inst132001.rcp,47270,0,time_limit,110,40
AD_inst133001.rcp,34002,0,time_limit,64,33
AD_inst134001.rcp,9989,1,search_exhausted,113,113
