instance,n_activities,n_resources,mean_duration,std_duration,total_duration,n_precedence_edges,precedence_density,order_strength,unordered_pair_ratio,critical_path_length,resource_factor,max_resource_pressure,mean_resource_pressure,n_conflict_pairs,conflict_density,resource_lower_bound,heuristic_ub,ub_lb_gap,nodes,y,solved
AD_inst1.rcp,30.0,4.0,6.166666666666667,3.1313823713426556,185.0,80.0,0.1839080459770115,0.496551724137931,0.503448275862069,40.0,0.5,0.5916666666666667,0.5370326976944624,15.0,0.0684931506849315,24.0,49.0,9.0,9603,9.169934957341145,1
AD_inst100001.rcp,30.0,4.0,6.166666666666667,3.1313823713426556,185.0,80.0,0.1839080459770115,0.496551724137931,0.503448275862069,40.0,0.5,1.2803571428571427,1.1771416083916084,87.0,0.3972602739726027,52.0,90.0,38.0,35507,10.47751330218821,0
AD_inst10001.rcp,30.0,2.0,5.633333333333334,2.7505554994501664,169.0,58.0,0.13333333333333333,0.8988505747126436,0.10114942528735638,92.0,0.5,0.2294050343249428,0.21169248371765537,4.0,0.09090909090909087,22.0,99.0,7.0,93,4.543294782270004,1
AD_inst1001.rcp,30.0,4.0,5.133333333333334,2.963481436119049,154.0,24.0,0.05517241379310345,0.09655172413793103,0.903448275862069,33.0,0.5,0.682983682983683,0.6024501813975498,32.0,0.08142493638676845,23.0,51.0,18.0,25667,10.153000358870406,0
AD_inst101001.rcp,30.0,4.0,5.133333333333334,2.963481436119049,154.0,24.0,0.05517241379310345,0.09655172413793103,0.903448275862069,33.0,0.5,1.1945773524720893,1.1375056402146186,173.0,0.4402035623409669,40.0,73.0,33.0,36706,10.510722751549745,0
AD_inst102001.rcp,30.0,4.0,5.633333333333334,2.7505554994501664,169.0,58.0,0.13333333333333333,0.8988505747126436,0.10114942528735638,92.0,0.5,0.5008361204013378,0.4765170184506569,19.0,0.4318181818181816,47.0,138.0,46.0,10378,9.24753981296529,1
AD_inst103001.rcp,30.0,4.0,5.7,2.9793735359411824,171.0,22.0,0.05057471264367816,0.3333333333333333,0.6666666666666667,71.0,0.5,0.6945885841363973,0.621490011306542,128.0,0.4413793103448275,50.0,124.0,53.0,30991,10.341484385646778,0
AD_inst104001.rcp,30.0,4.0,6.166666666666667,3.1313823713426556,185.0,80.0,0.1839080459770115,0.496551724137931,0.503448275862069,40.0,0.5,1.3833333333333333,1.1671502976190478,81.0,0.3698630136986301,56.0,85.0,29.0,46160,10.739890564725489,0
AD_inst105001.rcp,30.0,4.0,5.133333333333334,2.963481436119049,154.0,24.0,0.05517241379310345,0.09655172413793103,0.903448275862069,33.0,0.5,1.3476874003189792,1.1035529462562954,164.0,0.4173027989821883,45.0,73.0,28.0,40228,10.602343407563055,0
AD_inst106001.rcp,30.0,4.0,5.633333333333334,2.7505554994501664,169.0,58.0,0.13333333333333333,0.8988505747126436,0.10114942528735638,92.0,0.5,0.4722826086956522,0.4590918432590428,17.0,0.3863636363636362,44.0,139.0,47.0,7957,8.981932990986873,1
AD_inst107001.rcp,30.0,4.0,5.7,2.9793735359411824,171.0,22.0,0.05057471264367816,0.3333333333333333,0.6666666666666667,71.0,0.5,0.795774647887324,0.6513057733024593,128.0,0.4413793103448275,57.0,122.0,51.0,28128,10.244556351616321,0
AD_inst108001.rcp,30.0,4.0,6.166666666666667,3.1313823713426556,185.0,80.0,0.1839080459770115,0.496551724137931,0.503448275862069,40.0,0.5,1.2583333333333333,1.1743850447797817,91.0,0.4155251141552511,51.0,104.0,53.0,43106,10.671440675897315,0
AD_inst109001.rcp,30.0,4.0,5.133333333333334,2.963481436119049,154.0,24.0,0.05517241379310345,0.09655172413793103,0.903448275862069,33.0,0.5,1.5384615384615385,1.1698148052927464,174.0,0.44274809160305345,51.0,70.0,19.0,40570,10.610808804651954,0
AD_inst110001.rcp,30.0,4.0,5.633333333333334,2.7505554994501664,169.0,58.0,0.13333333333333333,0.8988505747126436,0.10114942528735638,92.0,0.5,0.5108695652173914,0.44537695094760316,22.0,0.4999999999999998,47.0,125.0,33.0,1285,7.1592919047975645,1
