instance,n_activities,n_resources,mean_duration,std_duration,total_duration,n_precedence_edges,precedence_density,order_strength,unordered_pair_ratio,critical_path_length,resource_factor,max_resource_pressure,mean_resource_pressure,n_conflict_pairs,conflict_density,resource_lower_bound,heuristic_ub,ub_lb_gap
J3010_1.RCP,30.0,4.0,5.466666666666667,3.1804961178337496,164.0,42.0,0.09655172413793103,0.3264367816091954,0.6735632183908046,41.0,0.7583333333333333,0.7104984093319194,0.6283156592435489,0.0,0.0,30.0,53.0,12.0
J3010_10.RCP,30.0,4.0,5.233333333333333,3.0515933907095523,157.0,42.0,0.09655172413793103,0.2850574712643678,0.7149425287356321,37.0,0.7583333333333333,0.7759009009009009,0.7250606584845716,0.0,0.0,29.0,49.0,12.0
J3010_2.RCP,30.0,4.0,5.466666666666667,2.667499869832341,164.0,42.0,0.09655172413793103,0.38850574712643676,0.6114942528735632,52.0,0.7583333333333333,0.7865384615384615,0.6537834448160535,0.0,0.0,41.0,67.0,15.0
J3010_3.RCP,30.0,4.0,6.166666666666667,2.745703714694812,185.0,42.0,0.09655172413793103,0.38620689655172413,0.6137931034482759,61.0,0.7583333333333333,0.7489214840379638,0.6267913432957682,5.0,0.018726591760299626,46.0,74.0,13.0
J3010_4.RCP,30.0,4.0,6.266666666666667,3.08688984074406,188.0,42.0,0.09655172413793103,0.367816091954023,0.632183908045977,53.0,0.7583333333333333,0.7616683217477657,0.6920782781399767,0.0,0.0,41.0,71.0,18.0
J3010_5.RCP,30.0,4.0,5.433333333333334,2.551905606056428,163.0,42.0,0.09655172413793103,0.2827586206896552,0.7172413793103448,41.0,0.7583333333333333,0.7896341463414634,0.6871019304828676,0.0,0.0,33.0,48.0,7.0
J3010_6.RCP,30.0,4.0,4.866666666666666,2.963481436119049,146.0,42.0,0.09655172413793103,0.32873563218390806,0.6712643678160919,40.0,0.7583333333333333,0.760576923076923,0.7257752694165738,4.0,0.0136986301369863,31.0,59.0,19.0
J3010_7.RCP,30.0,4.0,6.266666666666667,2.920426148507935,188.0,42.0,0.09655172413793103,0.3264367816091954,0.6735632183908046,47.0,0.7583333333333333,0.6621276595744681,0.6078477465110959,0.0,0.0,32.0,55.0,8.0
J3010_8.RCP,30.0,4.0,5.866666666666666,2.872087897138402,176.0,42.0,0.09655172413793103,0.3057471264367816,0.6942528735632184,50.0,0.7583333333333333,0.7409523809523809,0.6874786379198143,2.0,0.006622516556291391,38.0,62.0,12.0
J3010_9.RCP,30.0,4.0,5.066666666666666,3.0103525079668367,152.0,42.0,0.09655172413793103,0.2850574712643678,0.7149425287356321,49.0,0.7583333333333333,0.5969387755102041,0.5519766124094063,0.0,0.0,30.0,49.0,0.0
J3011_1.RCP,30.0,4.0,5.366666666666666,2.5882211823738883,161.0,42.0,0.09655172413793103,0.3839080459770115,0.6160919540229886,52.0,0.7583333333333333,0.8183760683760684,0.6137126068376069,6.0,0.022388059701492536,43.0,64.0,12.0
J3011_10.RCP,30.0,4.0,5.066666666666666,2.8744081516413464,152.0,42.0,0.09655172413793103,0.31494252873563217,0.6850574712643678,38.0,0.7583333333333333,0.6732456140350878,0.5732090643274854,0.0,0.0,26.0,43.0,5.0
J3011_2.RCP,30.0,4.0,6.633333333333334,2.575310121562493,199.0,42.0,0.09655172413793103,0.31724137931034485,0.6827586206896552,56.0,0.7583333333333333,0.7321428571428571,0.5672880044751568,0.0,0.0,41.0,62.0,6.0
J3011_3.RCP,30.0,4.0,6.166666666666667,2.864534090485843,185.0,42.0,0.09655172413793103,0.3793103448275862,0.6206896551724138,81.0,0.7583333333333333,0.4489337822671156,0.3707387509811257,0.0,0.0,37.0,83.0,2.0
J3011_4.RCP,30.0,4.0,6.366666666666666,3.08202675019035,191.0,42.0,0.09655172413793103,0.42528735632183906,0.5747126436781609,60.0,0.7583333333333333,0.6333333333333333,0.5465212789661319,2.0,0.008,38.0,64.0,4.0
J3011_5.RCP,30.0,4.0,5.766666666666667,2.4722908854384875,173.0,42.0,0.09655172413793103,0.3448275862068966,0.6551724137931034,48.0,0.7583333333333333,0.7986111111111112,0.655969158496732,1.0,0.0035087719298245615,39.0,56.0,8.0
J3011_6.RCP,30.0,4.0,5.566666666666666,3.0949780110509493,167.0,42.0,0.09655172413793103,0.31724137931034485,0.6827586206896552,44.0,0.7583333333333333,0.6118181818181818,0.5824489421868455,0.0,0.0,27.0,48.0,4.0
J3011_7.RCP,30.0,4.0,5.833333333333333,2.7698776547389636,175.0,42.0,0.09655172413793103,0.26666666666666666,0.7333333333333334,35.0,0.7583333333333333,0.7201970443349753,0.659166774201257,0.0,0.0,26.0,39.0,4.0
J3011_8.RCP,30.0,4.0,6.1,2.855987861785597,183.0,42.0,0.09655172413793103,0.3471264367816092,0.6528735632183909,62.0,0.7583333333333333,0.6444281524926686,0.582820668111692,0.0,0.0,40.0,63.0,1.0
J3011_9.RCP,30.0,4.0,5.066666666666666,2.6948510575210314,152.0,42.0,0.09655172413793103,0.3954022988505747,0.6045977011494252,67.0,0.7583333333333333,0.5741878841088675,0.4346628203520214,2.0,0.0076045627376425855,39.0,67.0,0.0
J3012_1.RCP,30.0,4.0,5.9,2.8442925306655784,177.0,42.0,0.09655172413793103,0.3103448275862069,0.6896551724137931,47.0,0.7583333333333333,0.5263987391646966,0.4758806365815127,0.0,0.0,25.0,47.0,0.0
J3012_10.RCP,30.0,4.0,6.033333333333333,2.915285387211497,181.0,42.0,0.09655172413793103,0.296551724137931,0.703448275862069,57.0,0.7583333333333333,0.4378947368421053,0.37942511694950576,0.0,0.0,25.0,57.0,0.0
