
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
----------------------------------------------------------------------
J3010_1.RCP         42          41       42       0.0%          60.073
J3010_10.RCP        42          37       41       2.4%          60.530
J3010_2.RCP         56          52       56       0.0%          60.223
J3010_3.RCP         65          61       62       4.8%          60.489
J3010_4.RCP         59          53       58       1.7%          60.473
J3010_5.RCP         43          41       41       4.9%          60.475
J3010_6.RCP         44          40       44       0.0%          60.547
J3010_7.RCP         49          47       49       0.0%          60.528
J3010_8.RCP         55          50       54       1.9%          60.418
J3010_9.RCP         49          49       49       0.0%           0.149
J3011_1.RCP         55          52       54       1.9%          60.077
J3011_10.RCP        38          38       38       0.0%           0.117
J3011_2.RCP         56          56       56       0.0%           0.499
J3011_3.RCP         81          81       81       0.0%           0.037
J3011_4.RCP         63          60       63       0.0%          60.193
J3011_5.RCP         49          48       49       0.0%          60.346
J3011_6.RCP         44          44       44       0.0%           1.133
J3011_7.RCP         37          35       36       2.8%          60.319
J3011_8.RCP         62          62       62       0.0%           0.207
J3011_9.RCP         67          67       67       0.0%           0.101
J3012_1.RCP         47          47       47       0.0%           0.096
J3012_10.RCP        57          57       57       0.0%           0.107
J3012_2.RCP         46          46       46       0.0%           0.100
J3012_3.RCP         37          37       37       0.0%           0.093
J3012_4.RCP         63          63       63       0.0%           0.066
J3012_5.RCP         47          47       47       0.0%           0.064
J3012_6.RCP         53          53       53       0.0%           0.056
J3012_7.RCP         55          55       55       0.0%           0.047
J3012_8.RCP         35          35       35       0.0%           0.062
J3012_9.RCP         52          52       52       0.0%           0.051
J3013_1.RCP         64          34       58      10.3%          60.149
J3013_10.RCP        71          52       64      10.9%          60.225
J3013_2.RCP         67          32       62       8.1%          60.095
J3013_3.RCP         91          45       76      19.7%          60.172
J3013_4.RCP         74          50       72       2.8%          60.438
J3013_5.RCP         73          43       67       9.0%          60.431
J3013_6.RCP         70          44       64       9.4%          60.226
J3013_7.RCP         84          50       77       9.1%          60.294
J3013_8.RCP        122          48      106      15.1%          60.206
J3013_9.RCP         78          51       71       9.9%          60.188
J3014_1.RCP         51          43       50       2.0%          60.285
J3014_10.RCP        61          58       61       0.0%          60.292
J3014_2.RCP         57          44       53       7.5%          60.777
J3014_3.RCP         60          58       58       3.4%          60.445
J3014_4.RCP         51          45       50       2.0%          60.624
J3014_5.RCP         53          50       52       1.9%          60.528
J3014_6.RCP         36          34       35       2.9%          60.366
J3014_7.RCP         51          47       50       2.0%          60.504
J3014_8.RCP         54          54       54       0.0%           0.215
J3014_9.RCP         47          44       46       2.2%          60.081
J3015_1.RCP         46          46       46       0.0%           0.111
J3015_10.RCP        65          65       65       0.0%           0.046
J3015_2.RCP         47          47       47       0.0%           0.042
J3015_3.RCP         48          48       48       0.0%           0.040
J3015_4.RCP         48          48       48       0.0%           0.039
J3015_5.RCP         61          56       58       5.2%          60.181
J3015_6.RCP         67          67       67       0.0%           0.143
J3015_7.RCP         47          47       47       0.0%           0.043
J3015_8.RCP         50          46       50       0.0%          60.054
J3015_9.RCP         54          54       54       0.0%           0.094
J3016_1.RCP         51          51       51       0.0%           0.034
J3016_10.RCP        51          51       51       0.0%           0.038
J3016_2.RCP         48          48       48       0.0%           0.035
J3016_3.RCP         36          36       36       0.0%           0.039
J3016_4.RCP         47          47       47       0.0%           0.038
J3016_5.RCP         51          51       51       0.0%           0.037
J3016_6.RCP         51          51       51       0.0%           0.039
J3016_7.RCP         34          34       34       0.0%           0.034
J3016_8.RCP         44          44       44       0.0%           0.040
J3016_9.RCP         44          44       44       0.0%           0.035
J3017_1.RCP         66          45       64       3.1%          60.046
J3017_10.RCP        66          66       66       0.0%           0.078
J3017_2.RCP         68          68       68       0.0%          11.582
J3017_3.RCP         60          60       60       0.0%           0.039
J3017_4.RCP         49          49       49       0.0%           7.131
J3017_5.RCP         47          47       47       0.0%          44.932
J3017_6.RCP         63          63       63       0.0%           0.075
J3017_7.RCP         57          57       57       0.0%          39.729
J3017_8.RCP         61          61       61       0.0%          15.792
J3017_9.RCP         48          48       48       0.0%          17.809
J3018_1.RCP         53          53       53       0.0%           7.197
J3018_10.RCP        49          49       49       0.0%          53.507
J3018_2.RCP         55          55       55       0.0%           5.754
J3018_3.RCP         56          56       56       0.0%           2.240
J3018_4.RCP         70          70       70       0.0%           4.504
J3018_5.RCP         52          52       52       0.0%           6.234
J3018_6.RCP         62          62       62       0.0%          28.040
J3018_7.RCP         48          48       48       0.0%           9.979
J3018_8.RCP         52          52       52       0.0%           6.098
J3018_9.RCP         47          47       47       0.0%           1.826
J3019_1.RCP         40          40       40       0.0%          22.722
J3019_10.RCP        47          47       47       0.0%          11.871
J3019_2.RCP         58          58       58       0.0%           0.049
J3019_3.RCP         83          83       83       0.0%           0.035
J3019_4.RCP         39          39       39       0.0%           0.038
J3019_5.RCP         48          48       48       0.0%           9.514
J3019_6.RCP         49          49       49       0.0%           6.783
J3019_7.RCP         57          57       57       0.0%          11.679
J3019_8.RCP         55          55       55       0.0%           0.043
J3019_9.RCP         38          38       38       0.0%           0.035
J301_1.RCP          43          38       43       0.0%          60.062
J301_10.RCP         45          37       45       0.0%          60.172
J301_2.RCP          47          42       47       0.0%          60.209
J301_3.RCP          47          43       47       0.0%          60.123
J301_4.RCP          63          55       62       1.6%          60.116
J301_5.RCP          40          31       39       2.6%          60.131
J301_6.RCP          48          38       48       0.0%          60.216
J301_7.RCP          60          60       60       0.0%           0.124
J301_8.RCP          53          53       53       0.0%           0.034
J301_9.RCP          51          42       49       4.1%          60.052
J3020_1.RCP         57          57       57       0.0%           0.096
J3020_10.RCP        37          37       37       0.0%           0.031
J3020_2.RCP         70          70       70       0.0%           0.031
J3020_3.RCP         49          49       49       0.0%           0.033
J3020_4.RCP         43          43       43       0.0%           0.033
J3020_5.RCP         61          61       61       0.0%           0.032
J3020_6.RCP         51          51       51       0.0%           0.032
J3020_7.RCP         42          42       42       0.0%           0.044
J3020_8.RCP         51          51       51       0.0%           0.033
J3020_9.RCP         41          41       41       0.0%           0.032
J3021_1.RCP         85          60       84       1.2%          60.056
J3021_10.RCP        73          54       69       5.8%          60.238
J3021_2.RCP         61          42       59       3.4%          60.376
J3021_3.RCP         78          60       76       2.6%          60.387
J3021_4.RCP         70          52       70       0.0%          60.270
J3021_5.RCP         60          43       55       9.1%          60.177
J3021_6.RCP         77          53       76       1.3%          60.204
J3021_7.RCP         75          53       65      15.4%          60.206
J3021_8.RCP         72          48       62      16.1%          60.140
J3021_9.RCP         76          43       69      10.1%          60.333
J3022_1.RCP         42          42       42       0.0%          17.510
J3022_10.RCP        55          52       55       0.0%          60.082
J3022_2.RCP         45          45       45       0.0%           6.371
J3022_3.RCP         63          63       63       0.0%          22.176
J3022_4.RCP         42          42       42       0.0%          36.480
J3022_5.RCP         52          46       52       0.0%          60.410
J3022_6.RCP         52          45       52       0.0%          60.327
J3022_7.RCP         60          55       60       0.0%          60.412
J3022_8.RCP         55          50       55       0.0%          60.158
J3022_9.RCP         76          76       76       0.0%           0.294
J3023_1.RCP         63          63       63       0.0%           0.033
J3023_10.RCP        61          61       61       0.0%           0.046
J3023_2.RCP         53          53       53       0.0%           0.036
J3023_3.RCP         46          46       46       0.0%           0.040
J3023_4.RCP         65          65       65       0.0%           6.902
J3023_5.RCP         52          52       52       0.0%          10.382
J3023_6.RCP         48          48       48       0.0%          10.105
J3023_7.RCP         60          60       60       0.0%           5.908
J3023_8.RCP         48          48       48       0.0%           0.046
J3023_9.RCP         63          63       63       0.0%           8.970
J3024_1.RCP         53          53       53       0.0%           0.044
J3024_10.RCP        53          53       53       0.0%           0.032
J3024_2.RCP         58          58       58       0.0%           0.034
