
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
----------------------------------------------------------------------
J3010_1.RCP         42          41       42       0.0%          60.072
J3010_10.RCP        42          37       41       2.4%          60.186
J3010_2.RCP         56          52       56       0.0%          60.244
J3010_3.RCP         63          61       62       1.6%          60.180
J3010_4.RCP         60          53       58       3.4%          60.167
J3010_5.RCP         41          41       41       0.0%          27.839
J3010_6.RCP         44          40       44       0.0%          60.124
J3010_7.RCP         49          47       49       0.0%          60.236
J3010_8.RCP         56          50       54       3.7%          60.464
J3010_9.RCP         49          49       49       0.0%           0.177
J3011_1.RCP         55          52       54       1.9%          60.220
J3011_10.RCP        38          38       38       0.0%           2.511
J3011_2.RCP         56          56       56       0.0%           2.108
J3011_3.RCP         81          81       81       0.0%           0.033
J3011_4.RCP         63          60       63       0.0%          60.123
J3011_5.RCP         49          48       49       0.0%          60.158
J3011_6.RCP         44          44       44       0.0%           7.505
J3011_7.RCP         36          35       36       0.0%          60.092
J3011_8.RCP         62          62       62       0.0%           3.041
J3011_9.RCP         67          67       67       0.0%           0.031
J3012_1.RCP         47          47       47       0.0%           0.029
J3012_10.RCP        57          57       57       0.0%           0.030
J3012_2.RCP         46          46       46       0.0%           0.028
J3012_3.RCP         37          37       37       0.0%           0.029
J3012_4.RCP         63          63       63       0.0%           0.029
J3012_5.RCP         47          47       47       0.0%           0.032
J3012_6.RCP         53          53       53       0.0%           0.026
J3012_7.RCP         55          55       55       0.0%           0.030
J3012_8.RCP         35          35       35       0.0%           0.035
J3012_9.RCP         52          52       52       0.0%           0.028
J3013_1.RCP         65          34       58      12.1%          60.075
J3013_10.RCP        67          52       64       4.7%          60.309
J3013_2.RCP         69          32       62      11.3%          60.167
J3013_3.RCP         87          45       76      14.5%          60.162
J3013_4.RCP         78          50       72       8.3%          60.154
J3013_5.RCP         76          43       67      13.4%          60.273
J3013_6.RCP         69          44       64       7.8%          60.159
J3013_7.RCP         81          50       77       5.2%          60.160
J3013_8.RCP        119          48      106      12.3%          60.156
J3013_9.RCP         78          51       71       9.9%          60.169
J3014_1.RCP         52          43       50       4.0%          60.149
J3014_10.RCP        61          58       61       0.0%          60.132
J3014_2.RCP         55          44       53       3.8%          60.155
J3014_3.RCP         59          58       58       1.7%          60.327
J3014_4.RCP         54          45       50       8.0%          60.166
J3014_5.RCP         54          50       52       3.8%          60.259
J3014_6.RCP         36          34       35       2.9%          60.190
J3014_7.RCP         53          47       50       6.0%          60.212
J3014_8.RCP         54          54       54       0.0%           1.614
J3014_9.RCP         49          44       46       6.5%          60.076
J3015_1.RCP         46          46       46       0.0%           0.247
J3015_10.RCP        65          65       65       0.0%           0.053
J3015_2.RCP         47          47       47       0.0%           1.495
J3015_3.RCP         48          48       48       0.0%           0.331
J3015_4.RCP         48          48       48       0.0%           0.123
J3015_5.RCP         62          56       58       6.9%          60.066
J3015_6.RCP         67          67       67       0.0%           0.099
J3015_7.RCP         47          47       47       0.0%           0.176
J3015_8.RCP         51          46       50       2.0%          60.052
J3015_9.RCP         54          54       54       0.0%           0.374
J3016_1.RCP         51          51       51       0.0%           0.028
J3016_10.RCP        51          51       51       0.0%           0.028
J3016_2.RCP         48          48       48       0.0%           0.030
J3016_3.RCP         36          36       36       0.0%           0.027
J3016_4.RCP         47          47       47       0.0%           0.027
J3016_5.RCP         51          51       51       0.0%           0.029
