
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
----------------------------------------------------------------------
J3010_1.RCP         44          41       42       4.8%          60.030
J3010_10.RCP        41          37       41       0.0%          60.174
J3010_2.RCP         56          52       56       0.0%          60.147
J3010_3.RCP         65          61       62       4.8%          60.192
J3010_4.RCP         60          53       58       3.4%          60.050
J3010_5.RCP         44          41       41       7.3%          60.093
J3010_6.RCP         46          40       44       4.5%          60.113
J3010_7.RCP         49          47       49       0.0%          60.205
J3010_8.RCP         59          50       54       9.3%          60.071
J3010_9.RCP         49          49       49       0.0%           0.141
J3011_1.RCP         55          52       54       1.9%          60.027
J3011_10.RCP        38          38       38       0.0%           1.874
J3011_2.RCP         58          56       56       3.6%          60.078
J3011_3.RCP         81          81       81       0.0%           0.087
J3011_4.RCP         63          60       63       0.0%          60.092
J3011_5.RCP         50          48       49       2.0%          60.150
J3011_6.RCP         44          44       44       0.0%           4.909
J3011_7.RCP         37          35       36       2.8%          60.030
J3011_8.RCP         62          62       62       0.0%           1.768
J3011_9.RCP         67          67       67       0.0%           1.698
J3012_1.RCP         47          47       47       0.0%           0.062
J3012_10.RCP        57          57       57       0.0%           0.067
J3012_2.RCP         46          46       46       0.0%           0.062
J3012_3.RCP         37          37       37       0.0%           0.052
J3012_4.RCP         63          63       63       0.0%           0.063
J3012_5.RCP         47          47       47       0.0%           0.098
J3012_6.RCP         53          53       53       0.0%           0.107
J3012_7.RCP         55          55       55       0.0%           0.061
J3012_8.RCP         35          35       35       0.0%           0.073
J3012_9.RCP         52          52       52       0.0%           0.057
J3013_1.RCP         68          34       58      17.2%          60.084
J3013_10.RCP        71          52       64      10.9%          60.195
J3013_2.RCP         71          32       62      14.5%          60.184
J3013_3.RCP         94          45       76      23.7%          60.227
J3013_4.RCP         81          50       72      12.5%          60.060
J3013_5.RCP         78          43       67      16.4%          60.192
J3013_6.RCP         68          44       64       6.2%          60.065
J3013_7.RCP         86          50       77      11.7%          60.166
J3013_8.RCP        119          48      106      12.3%          60.109
J3013_9.RCP         80          51       71      12.7%          60.176
J3014_1.RCP         52          43       50       4.0%          60.236
J3014_10.RCP        63          58       61       3.3%          60.058
J3014_2.RCP         55          44       53       3.8%          60.191
J3014_3.RCP         60          58       58       3.4%          60.076
J3014_4.RCP         57          45       50      14.0%          60.228
J3014_5.RCP         57          50       52       9.6%          60.115
J3014_6.RCP         37          34       35       5.7%          60.222
J3014_7.RCP         54          47       50       8.0%          60.243
J3014_8.RCP         54          54       54       0.0%           0.493
J3014_9.RCP         48          44       46       4.3%          60.077
J3015_1.RCP         46          46       46       0.0%           0.179
J3015_10.RCP        65          65       65       0.0%           0.057
J3015_2.RCP         47          47       47       0.0%           0.265
J3015_3.RCP         48          48       48       0.0%           0.137
J3015_4.RCP         48          48       48       0.0%           0.067
J3015_5.RCP         62          56       58       6.9%          60.021
J3015_6.RCP         67          67       67       0.0%           0.088
J3015_7.RCP         47          47       47       0.0%           0.255
J3015_8.RCP         50          46       50       0.0%          60.038
J3015_9.RCP         54          54       54       0.0%           9.058
J3016_1.RCP         51          51       51       0.0%           0.050
J3016_10.RCP        51          51       51       0.0%           0.053
J3016_2.RCP         48          48       48       0.0%           0.064
J3016_3.RCP         36          36       36       0.0%           0.114
J3016_4.RCP         47          47       47       0.0%           0.061
J3016_5.RCP         51          51       51       0.0%           0.055
J3016_6.RCP         51          51       51       0.0%           0.049
J3016_7.RCP         34          34       34       0.0%           0.050
J3016_8.RCP         44          44       44       0.0%           0.053
J3016_9.RCP         44          44       44       0.0%           0.043
J3017_1.RCP         66          45       64       3.1%          60.040
J3017_10.RCP        66          66       66       0.0%           2.375
J3017_2.RCP         68          68       68       0.0%          24.930
J3017_3.RCP         60          60       60       0.0%           0.078
J3017_4.RCP         49          49       49       0.0%          17.461
J3017_5.RCP         50          35       47       6.4%          60.033
J3017_6.RCP         63          63       63       0.0%           0.150
J3017_7.RCP         57          50       57       0.0%          60.038
J3017_8.RCP         61          61       61       0.0%          54.291
J3017_9.RCP         48          48       48       0.0%          49.817
J3018_1.RCP         53          53       53       0.0%          17.323
J3018_10.RCP        49          41       49       0.0%          60.142
J3018_2.RCP         55          55       55       0.0%          15.020
J3018_3.RCP         56          56       56       0.0%           4.703
J3018_4.RCP         70          70       70       0.0%           0.206
J3018_5.RCP         52          52       52       0.0%          14.877
J3018_6.RCP         62          53       62       0.0%          60.076
J3018_7.RCP         48          48       48       0.0%          20.622
J3018_8.RCP         52          52       52       0.0%          11.279
J3018_9.RCP         47          47       47       0.0%           6.699
J3019_1.RCP         40          39       40       0.0%          60.098
J3019_10.RCP        47          47       47       0.0%          26.524
J3019_2.RCP         58          58       58       0.0%           0.061
J3019_3.RCP         83          83       83       0.0%           0.189
J3019_4.RCP         39          39       39       0.0%          36.694
J3019_5.RCP         48          48       48       0.0%          39.196
J3019_6.RCP         49          49       49       0.0%          11.706
J3019_7.RCP         57          57       57       0.0%          24.620
J3019_8.RCP         55          55       55       0.0%           0.555
J3019_9.RCP         38          38       38       0.0%           6.214
J301_1.RCP          50          38       43      16.3%          60.102
J301_10.RCP         45          37       45       0.0%          60.159
J301_2.RCP          47          42       47       0.0%          60.141
J301_3.RCP          47          43       47       0.0%          60.056
J301_4.RCP          81          55       62      30.6%          60.138
J301_5.RCP          45          31       39      15.4%          60.112
J301_6.RCP          49          38       48       2.1%          60.098
J301_7.RCP          60          60       60       0.0%           1.516
J301_8.RCP          55          53       53       3.8%          60.196
J301_9.RCP          50          42       49       2.0%          60.152
J3020_1.RCP         57          57       57       0.0%           0.081
J3020_10.RCP        37          37       37       0.0%           0.040
J3020_2.RCP         70          70       70       0.0%           0.047
J3020_3.RCP         49          49       49       0.0%           0.129
J3020_4.RCP         43          43       43       0.0%           0.073
