
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
----------------------------------------------------------------------
J3010_1.RCP         50          41       42      19.0%           1.001
J3010_10.RCP        45          37       41       9.8%           1.002
J3010_2.RCP         60          52       56       7.1%           1.004
J3010_3.RCP         68          61       62       9.7%           1.004
J3010_4.RCP         65          53       58      12.1%           1.002
J3010_5.RCP         45          41       41       9.8%           1.002
J3010_6.RCP         49          40       44      11.4%           1.003
J3010_7.RCP         50          47       49       2.0%           1.001
J3010_8.RCP         61          50       54      13.0%           1.005
J3010_9.RCP         49          49       49       0.0%           0.052
J3011_1.RCP         60          52       54      11.1%           1.003
J3011_10.RCP        41          38       38       7.9%           1.002
J3011_2.RCP         60          56       56       7.1%           1.002
J3011_3.RCP         81          81       81       0.0%           0.038
J3011_4.RCP         63          60       63       0.0%           1.001
J3011_5.RCP         52          48       49       6.1%           1.003
J3011_6.RCP         45          44       44       2.3%           1.001
J3011_7.RCP         40          35       36      11.1%           1.003
J3011_8.RCP         62          62       62       0.0%           0.965
J3011_9.RCP         67          67       67       0.0%           0.929
J3012_1.RCP         47          47       47       0.0%           0.038
J3012_10.RCP        57          57       57       0.0%           0.042
J3012_2.RCP         46          46       46       0.0%           0.042
J3012_3.RCP         37          37       37       0.0%           0.034
J3012_4.RCP         63          63       63       0.0%           0.037
J3012_5.RCP         47          47       47       0.0%           0.039
J3012_6.RCP         53          53       53       0.0%           0.038
J3012_7.RCP         55          55       55       0.0%           0.038
J3012_8.RCP         35          35       35       0.0%           0.047
J3012_9.RCP         52          52       52       0.0%           0.038
J3013_1.RCP         73          34       58      25.9%           1.002
J3013_10.RCP        73          52       64      14.1%           1.001
J3013_2.RCP         74          32       62      19.4%           1.002
J3013_3.RCP         97          45       76      27.6%           1.002
J3013_4.RCP         86          50       72      19.4%           1.002
J3013_5.RCP         80          43       67      19.4%           1.002
J3013_6.RCP         72          44       64      12.5%           1.002
J3013_7.RCP         87          50       77      13.0%           1.001
J3013_8.RCP        127          48      106      19.8%           1.002
J3013_9.RCP         84          51       71      18.3%           1.002
J3014_1.RCP         55          43       50      10.0%           1.001
J3014_10.RCP        65          58       61       6.6%           1.002
J3014_2.RCP         56          44       53       5.7%           1.003
J3014_3.RCP         64          58       58      10.3%           1.002
J3014_4.RCP         58          45       50      16.0%           1.001
J3014_5.RCP         58          50       52      11.5%           1.003
J3014_6.RCP         40          34       35      14.3%           1.004
J3014_7.RCP         57          47       50      14.0%           1.003
J3014_8.RCP         54          54       54       0.0%           0.152
J3014_9.RCP         50          44       46       8.7%           1.002
J3015_1.RCP         46          46       46       0.0%           0.038
J3015_10.RCP        65          65       65       0.0%           0.034
J3015_2.RCP         47          47       47       0.0%           0.130
J3015_3.RCP         48          48       48       0.0%           0.117
J3015_4.RCP         48          48       48       0.0%           0.044
J3015_5.RCP         64          56       58      10.3%           1.002
J3015_6.RCP         67          67       67       0.0%           0.046
J3015_7.RCP         47          47       47       0.0%           0.128
J3015_8.RCP         57          46       50      14.0%           1.001
J3015_9.RCP         56          54       54       3.7%           1.002
J3016_1.RCP         51          51       51       0.0%           0.029
J3016_10.RCP        51          51       51       0.0%           0.037
J3016_2.RCP         48          48       48       0.0%           0.042
J3016_3.RCP         36          36       36       0.0%           0.041
J3016_4.RCP         47          47       47       0.0%           0.033
J3016_5.RCP         51          51       51       0.0%           0.034
J3016_6.RCP         51          51       51       0.0%           0.030
J3016_7.RCP         34          34       34       0.0%           0.033
J3016_8.RCP         44          44       44       0.0%           0.034
J3016_9.RCP         44          44       44       0.0%           0.029
J3017_1.RCP         74          45       64      15.6%           1.002
J3017_10.RCP        73          66       66      10.6%           1.004
J3017_2.RCP         68          59       68       0.0%           1.001
J3017_3.RCP         60          60       60       0.0%           0.037
J3017_4.RCP         50          42       49       2.0%           1.001
J3017_5.RCP         59          35       47      25.5%           1.001
J3017_6.RCP         63          63       63       0.0%           0.078
J3017_7.RCP         57          50       57       0.0%           1.001
J3017_8.RCP         66          53       61       8.2%           1.001
J3017_9.RCP         51          44       48       6.2%           1.002
J3018_1.RCP         53          47       53       0.0%           1.002
J3018_10.RCP        58          41       49      18.4%           1.002
J3018_2.RCP         55          52       55       0.0%           1.002
J3018_3.RCP         56          53       56       0.0%           1.001
J3018_4.RCP         70          70       70       0.0%           0.138
J3018_5.RCP         52          50       52       0.0%           1.002
J3018_6.RCP         65          53       62       4.8%           1.001
J3018_7.RCP         51          46       48       6.2%           1.001
J3018_8.RCP         52          49       52       0.0%           1.001
J3018_9.RCP         51          44       47       8.5%           1.003
J3019_1.RCP         46          39       40      15.0%           1.002
J3019_10.RCP        47          44       47       0.0%           1.002
J3019_2.RCP         58          58       58       0.0%           0.030
J3019_3.RCP         83          83       83       0.0%           0.070
J3019_4.RCP         49          39       39      25.6%           1.001
J3019_5.RCP         49          47       48       2.1%           1.002
J3019_6.RCP         49          44       49       0.0%           1.002
J3019_7.RCP         57          54       57       0.0%           1.002
J3019_8.RCP         55          55       55       0.0%           0.291
J3019_9.RCP         39          38       38       2.6%           1.002
J301_1.RCP          57          38       43      32.6%           1.002
J301_10.RCP         54          37       45      20.0%           1.001
J301_2.RCP          51          42       47       8.5%           1.002
J301_3.RCP          50          43       47       6.4%           1.002
J301_4.RCP          83          55       62      33.9%           1.003
J301_5.RCP          46          31       39      17.9%           1.010
J301_6.RCP          49          38       48       2.1%           1.002
J301_7.RCP          60          60       60       0.0%           0.879
J301_8.RCP          56          53       53       5.7%           1.002
J301_9.RCP          50          42       49       2.0%           1.002
J3020_1.RCP         57          57       57       0.0%           0.031
J3020_10.RCP        37          37       37       0.0%           0.024
J3020_2.RCP         70          70       70       0.0%           0.027
J3020_3.RCP         49          49       49       0.0%           0.040
J3020_4.RCP         43          43       43       0.0%           0.038
J3020_5.RCP         61          61       61       0.0%           0.030
J3020_6.RCP         51          51       51       0.0%           0.032
J3020_7.RCP         42          42       42       0.0%           0.029
J3020_8.RCP         51          51       51       0.0%           0.025
J3020_9.RCP         41          41       41       0.0%           0.036
J3021_1.RCP         93          60       84      10.7%           1.002
J3021_10.RCP        76          54       69      10.1%           1.002
J3021_2.RCP         70          42       59      18.6%           1.002
J3021_3.RCP         86          60       76      13.2%           1.002
J3021_4.RCP         81          52       70      15.7%           1.003
J3021_5.RCP         64          43       55      16.4%           1.002
