
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
----------------------------------------------------------------------
J3010_1.RCP         42          41       42       0.0%         304.678
J3010_3.RCP         63          61       62       1.6%         304.705
J3010_4.RCP         58          53       58       0.0%         305.518
J3010_5.RCP         41          41       41       0.0%         103.063
J3010_6.RCP         45          40       44       2.3%         303.128
J3010_8.RCP         55          50       54       1.9%         304.830
J3011_1.RCP         54          54       54       0.0%          76.648
J3011_2.RCP         56          56       56       0.0%          18.146
J3011_5.RCP         49          49       49       0.0%         173.566
J3011_7.RCP         36          36       36       0.0%         186.131
J3013_1.RCP         64          34       58      10.3%         303.838
J3013_10.RCP        71          52       64      10.9%         305.507
J3013_2.RCP         67          32       62       8.1%         305.672
J3013_3.RCP         88          45       76      15.8%         305.356
J3013_4.RCP         78          50       72       8.3%         305.434
J3013_5.RCP         73          43       67       9.0%         305.276
J3013_6.RCP         67          44       64       4.7%         310.555
J3013_7.RCP         83          50       77       7.8%         305.564
J3013_8.RCP        113          48      106       6.6%         305.518
J3013_9.RCP         76          51       71       7.0%         305.308
J3014_1.RCP         50          43       50       0.0%         304.805
J3014_10.RCP        61          61       61       0.0%          86.199
J3014_2.RCP         54          44       53       1.9%         303.037
J3014_3.RCP         60          58       58       3.4%         305.684
J3014_4.RCP         55          45       50      10.0%         310.159
J3014_5.RCP         53          50       52       1.9%         305.456
J3014_6.RCP         35          34       35       0.0%         305.862
J3014_7.RCP         51          47       50       2.0%         306.303
J3014_9.RCP         47          44       46       2.2%         306.050
J3015_5.RCP         58          56       58       0.0%         305.048
J3017_1.RCP         64          45       64       0.0%         304.612
J3017_5.RCP         47          47       47       0.0%          23.850
J301_1.RCP          43          43       43       0.0%         245.942
J301_4.RCP          62          55       62       0.0%         303.528
J301_5.RCP          40          31       39       2.6%         307.717
J301_6.RCP          48          48       48       0.0%          46.126
J301_8.RCP          53          53       53       0.0%          22.937
J301_9.RCP          49          49       49       0.0%          94.615
J3021_1.RCP         84          84       84       0.0%         186.411
J3021_10.RCP        69          54       69       0.0%         318.363
J3021_2.RCP         59          42       59       0.0%         316.634
J3021_3.RCP         76          76       76       0.0%         189.236
J3021_4.RCP         70          52       70       0.0%         303.760
J3021_5.RCP         55          43       55       0.0%         304.858
J3021_6.RCP         77          53       76       1.3%         304.903
J3021_7.RCP         67          53       65       3.1%         307.864
J3021_8.RCP         63          48       62       1.6%         316.901
J3021_9.RCP         69          43       69       0.0%         323.105
J3022_10.RCP        55          55       55       0.0%         159.331
J3022_5.RCP         52          46       52       0.0%         303.306
J3022_6.RCP         52          52       52       0.0%         236.299
J3022_7.RCP         60          60       60       0.0%         167.403
J3022_8.RCP         55          50       55       0.0%         303.483
J3025_1.RCP         97          63       93       4.3%         305.334
J3025_10.RCP        60          47       58       3.4%         323.102
J3025_2.RCP         78          43       75       4.0%         305.076
J3025_3.RCP         84          44       76      10.5%         305.664
J3025_4.RCP         93          48       81      14.8%         305.329
J3025_5.RCP         78          45       72       8.3%         305.468
J3025_6.RCP         65          41       58      12.1%         305.766
J3025_7.RCP         97          59       95       2.1%         305.284
J3025_8.RCP         75          38       69       8.7%         304.985
J3025_9.RCP         85          50       84       1.2%         304.846
J3026_1.RCP         59          59       59       0.0%          72.762
J3026_10.RCP        49          49       49       0.0%         265.443
J3026_7.RCP         56          56       56       0.0%          20.073
J3026_9.RCP         44          41       43       2.3%         302.391
J3029_1.RCP         91          62       85       7.1%         305.516
J3029_10.RCP        78          51       76       2.6%         305.194
J3029_2.RCP         98          55       90       8.9%         304.902
J3029_3.RCP         80          45       78       2.6%         305.340
J3029_4.RCP        114          54      103      10.7%         305.311
J3029_5.RCP        112          53       98      14.3%         304.929
J3029_6.RCP        102          43       92      10.9%         305.380
J3029_7.RCP         79          41       73       8.2%         305.149
J3029_8.RCP         91          50       80      13.8%         305.351
J3029_9.RCP        114          52       97      17.5%         318.931
J302_10.RCP         43          43       43       0.0%          62.670
J3030_1.RCP         51          40       47       8.5%         302.676
J3030_10.RCP        53          43       53       0.0%         318.400
J3030_2.RCP         70          65       68       2.9%         305.425
J3030_3.RCP         55          53       55       0.0%         304.811
J3030_4.RCP         53          53       53       0.0%         257.035
J3030_5.RCP         54          54       54       0.0%         109.235
J3030_6.RCP         63          54       62       1.6%         314.647
J3030_7.RCP         68          68       68       0.0%          57.782
J3030_8.RCP         46          46       46       0.0%         280.945
J3030_9.RCP         46          44       46       0.0%         305.269
J3031_10.RCP        55          49       55       0.0%         305.248
J3031_5.RCP         52          52       52       0.0%          89.355
J3031_9.RCP         50          46       50       0.0%         302.609
J3037_1.RCP         80          46       79       1.3%         304.436
J3037_10.RCP        82          60       81       1.2%         304.487
J3037_2.RCP         69          69       69       0.0%         184.398
J3037_3.RCP         81          81       81       0.0%         193.216
J3037_4.RCP         83          62       83       0.0%         316.514
J3037_5.RCP         80          80       80       0.0%          67.801
J3037_6.RCP         73          73       73       0.0%          80.878
J3037_7.RCP         94          54       92       2.2%         302.744
