
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
---------------------------------------------------------------------------------
J3010_1.RCP         42          41       42       0.0%      12961          60.028
J3010_10.RCP        42          37       41       2.4%      13668          60.117
J3010_2.RCP         56          52       56       0.0%      14121          60.094
J3010_3.RCP         63          61       62       1.6%      14096          60.088
J3010_4.RCP         59          53       58       1.7%      14508          60.078
J3010_5.RCP         41          41       41       0.0%       5925          23.790
J3010_6.RCP         46          40       44       4.5%      15141          60.064
J3010_7.RCP         50          47       49       2.0%      13799          60.091
J3010_8.RCP         55          50       54       1.9%      13121          60.125
J3010_9.RCP         49          49       49       0.0%         32           0.206
J3011_1.RCP         61          52       54      13.0%      14070          60.039
J3011_10.RCP        38          38       38       0.0%       3307          13.812
J3011_2.RCP         56          56       56       0.0%        356           1.410
J3011_3.RCP         81          81       81       0.0%        151           0.568
J3011_4.RCP         63          60       63       0.0%      14195          60.095
J3011_5.RCP         50          48       49       2.0%      12555          60.114
J3011_6.RCP         44          44       44       0.0%         32           0.202
J3011_7.RCP         37          35       36       2.8%      14000          60.035
J3011_8.RCP         62          62       62       0.0%         32           0.177
J3011_9.RCP         67          67       67       0.0%        164           0.615
J3012_1.RCP         47          47       47       0.0%         32           0.147
J3012_10.RCP        57          57       57       0.0%         32           0.147
J3012_2.RCP         46          46       46       0.0%         32           0.144
J3012_3.RCP         37          37       37       0.0%         32           0.139
J3012_4.RCP         63          63       63       0.0%         32           0.139
J3012_5.RCP         47          47       47       0.0%         32           0.153
J3012_6.RCP         53          53       53       0.0%         32           0.140
J3012_7.RCP         55          55       55       0.0%         32           0.145
J3012_8.RCP         35          35       35       0.0%         32           0.159
J3012_9.RCP         52          52       52       0.0%         32           0.138
J3013_1.RCP         65          34       58      12.1%      14074          60.053
J3013_10.RCP        71          52       64      10.9%      15016          60.076
J3013_2.RCP         67          32       62       8.1%      14884          60.064
J3013_3.RCP         84          45       76      10.5%      13926          60.079
J3013_4.RCP         80          50       72      11.1%      13287          60.070
J3013_5.RCP         80          43       67      19.4%      14855          60.103
J3013_6.RCP         67          44       64       4.7%      12820          60.070
J3013_7.RCP         82          50       77       6.5%      14540          60.108
J3013_8.RCP        123          48      106      16.0%      14005          60.077
J3013_9.RCP         81          51       71      14.1%      13734          60.068
J3014_1.RCP         50          43       50       0.0%      14735          60.078
J3014_10.RCP        61          58       61       0.0%      13811          60.096
J3014_2.RCP         55          44       53       3.8%      14650          60.102
J3014_3.RCP         60          58       58       3.4%      13706          60.082
J3014_4.RCP         51          45       50       2.0%      14473          60.088
J3014_5.RCP         54          50       52       3.8%      13701          60.118
J3014_6.RCP         38          34       35       8.6%      13682          60.100
J3014_7.RCP         52          47       50       4.0%      14183          60.094
J3014_8.RCP         54          54       54       0.0%         32           0.211
J3014_9.RCP         47          44       46       2.2%      14100          60.054
J3015_1.RCP         46          46       46       0.0%         32           0.190
J3015_10.RCP        65          65       65       0.0%         32           0.140
J3015_2.RCP         47          47       47       0.0%         32           0.157
J3015_3.RCP         48          48       48       0.0%         32           0.148
J3015_4.RCP         48          48       48       0.0%         32           0.151
J3015_5.RCP         60          56       58       3.4%      14477          60.026
J3015_6.RCP         67          67       67       0.0%         32           0.186
J3015_7.RCP         47          47       47       0.0%         32           0.160
J3015_8.RCP         50          46       50       0.0%      13093          60.030
J3015_9.RCP         54          54       54       0.0%         32           0.198
J3016_1.RCP         51          51       51       0.0%         32           0.155
J3016_10.RCP        51          51       51       0.0%         32           0.163
J3016_2.RCP         48          48       48       0.0%         32           0.144
J3016_3.RCP         36          36       36       0.0%         32           0.146
J3016_4.RCP         47          47       47       0.0%         32           0.138
J3016_5.RCP         51          51       51       0.0%         32           0.146
