
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
---------------------------------------------------------------------------------
J3010_1.RCP         42          41       42       0.0%      12739          60.049
J3010_10.RCP        43          37       41       4.9%      13009          60.074
J3010_2.RCP         56          52       56       0.0%      13734          60.130
J3010_3.RCP         64          61       62       3.2%      14289          60.122
J3010_4.RCP         59          53       58       1.7%      14117          60.126
J3010_5.RCP         41          41       41       0.0%       2717          13.023
J3010_6.RCP         46          40       44       4.5%      14081          60.046
J3010_7.RCP         49          47       49       0.0%      13437          60.115
J3010_8.RCP         55          50       54       1.9%      12877          60.121
J3010_9.RCP         49          49       49       0.0%         32           0.212
J3011_1.RCP         55          52       54       1.9%      14074          60.055
J3011_10.RCP        38          38       38       0.0%         40           0.226
J3011_2.RCP         58          56       56       3.6%      13582          60.044
J3011_3.RCP         81          81       81       0.0%         32           0.183
J3011_4.RCP         63          60       63       0.0%      13840          60.030
J3011_5.RCP         49          48       49       0.0%      12688          60.101
J3011_6.RCP         44          44       44       0.0%         32           0.206
J3011_7.RCP         37          35       36       2.8%      13245          60.056
J3011_8.RCP         62          62       62       0.0%         67           0.367
J3011_9.RCP         67          67       67       0.0%         32           0.170
J3012_1.RCP         47          47       47       0.0%         32           0.166
J3012_10.RCP        57          57       57       0.0%         32           0.170
J3012_2.RCP         46          46       46       0.0%         32           0.164
J3012_3.RCP         37          37       37       0.0%         32           0.164
J3012_4.RCP         63          63       63       0.0%         32           0.167
J3012_5.RCP         47          47       47       0.0%         32           0.173
J3012_6.RCP         53          53       53       0.0%         32           0.160
J3012_7.RCP         55          55       55       0.0%         32           0.162
J3012_8.RCP         35          35       35       0.0%         32           0.184
J3012_9.RCP         52          52       52       0.0%         32           0.163
J3013_1.RCP         63          34       58       8.6%      12520          60.034
J3013_10.RCP        74          52       64      15.6%      14272          60.066
J3013_2.RCP         66          32       62       6.5%      13931          60.093
J3013_3.RCP         88          45       76      15.8%      13886          60.068
J3013_4.RCP         76          50       72       5.6%      14059          60.082
J3013_5.RCP         77          43       67      14.9%      14135          60.129
J3013_6.RCP         68          44       64       6.2%      12884          60.077
J3013_7.RCP         81          50       77       5.2%      14280          60.095
J3013_8.RCP        116          48      106       9.4%      14847          60.075
