mb_step,update,global_step,epoch,minibatch,batch_size,cand_min,cand_mean,cand_median,cand_max,entropy_mean,entropy_norm_mean,pct_deterministic,approx_kl,is_trigger
0,1,53479,1,1,6682,4,4.476,4.0,8,1.02638,0.68119,0.0452,0.000194,0
1,1,53479,1,2,6682,2,2.000,2.0,2,0.25808,0.37233,0.5103,0.000126,0
2,1,53479,1,3,6682,3,3.000,3.0,3,0.60527,0.55094,0.1238,0.064688,1
3,2,121595,1,1,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
4,2,121595,1,2,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
5,2,121595,1,3,8510,2,2.000,2.0,2,0.15535,0.22413,0.7049,0.000018,0
6,2,121595,1,4,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
7,2,121595,1,5,8510,1,1.446,1.0,2,0.08766,0.12647,0.8327,0.000032,0
8,2,121595,1,6,8510,2,3.013,3.0,6,0.32464,0.29919,0.4545,0.001271,0
9,2,121595,1,7,5,6,6.000,6.0,6,0.06826,0.03810,0.8000,0.000135,0
10,2,121595,1,8,8510,2,2.000,2.0,2,0.15321,0.22103,0.7236,0.000469,0
11,2,121595,1,9,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
12,2,121595,2,1,5,6,6.000,6.0,6,0.10839,0.06049,0.8000,0.000489,0
13,2,121595,2,2,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
14,2,121595,2,3,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
15,2,121595,2,4,8510,2,2.000,2.0,2,0.16077,0.23194,0.6885,0.001602,0
16,2,121595,2,5,8510,2,3.013,3.0,6,0.35974,0.33051,0.4206,0.009463,0
17,2,121595,2,6,8510,2,2.000,2.0,2,0.17041,0.24586,0.6749,0.001609,0
18,2,121595,2,7,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
19,2,121595,2,8,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
20,2,121595,2,9,8510,1,1.446,1.0,2,0.09114,0.13148,0.8309,0.000764,0
21,2,121595,3,1,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
22,2,121595,3,2,8510,2,3.013,3.0,6,0.33518,0.30859,0.4342,0.006852,0
23,2,121595,3,3,8510,2,2.000,2.0,2,0.15423,0.22250,0.7226,0.003021,0
24,2,121595,3,4,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
25,2,121595,3,5,5,6,6.000,6.0,6,0.17480,0.09756,0.8000,0.024993,0
26,2,121595,3,6,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
27,2,121595,3,7,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
28,2,121595,3,8,8510,1,1.446,1.0,2,0.09014,0.13004,0.8414,0.002610,0
29,2,121595,3,9,8510,2,2.000,2.0,2,0.16748,0.24162,0.7122,0.005439,0
30,2,121595,4,1,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
31,2,121595,4,2,8510,2,2.000,2.0,2,0.16527,0.23844,0.7136,0.005612,0
32,2,121595,4,3,8510,1,1.446,1.0,2,0.08772,0.12656,0.8452,0.002939,0
33,2,121595,4,4,5,6,6.000,6.0,6,0.24490,0.13668,0.8000,0.017233,0
34,2,121595,4,5,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
35,2,121595,4,6,8510,2,3.013,3.0,6,0.31952,0.29400,0.4409,0.012135,0
36,2,121595,4,7,8510,2,2.000,2.0,2,0.15371,0.22176,0.7576,0.006268,0
37,2,121595,4,8,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
38,2,121595,4,9,8510,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
39,3,206297,1,1,10583,2,2.991,3.0,4,0.23043,0.21361,0.6197,0.000000,0
40,3,206297,1,2,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
41,3,206297,1,3,10583,2,2.000,2.0,2,0.17423,0.25136,0.5111,0.000137,0
42,3,206297,1,4,7,4,4.000,4.0,4,0.37976,0.27394,0.4286,0.000050,0
43,3,206297,1,5,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
44,3,206297,1,6,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
45,3,206297,1,7,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
46,3,206297,1,8,10583,1,1.466,1.0,2,0.09062,0.13074,0.7625,0.001844,0
47,3,206297,1,9,10583,2,2.000,2.0,2,0.23527,0.33943,0.3963,0.005956,0
48,3,206297,2,1,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
49,3,206297,2,2,10583,2,2.000,2.0,2,0.21547,0.31085,0.4654,0.007102,0
50,3,206297,2,3,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
51,3,206297,2,4,10583,2,2.000,2.0,2,0.26640,0.38433,0.3748,0.014101,0
52,3,206297,2,5,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
53,3,206297,2,6,10583,2,2.991,3.0,4,0.41550,0.37693,0.2834,0.048393,0
54,3,206297,2,7,10583,1,1.466,1.0,2,0.11429,0.16489,0.7433,0.007463,0
55,3,206297,2,8,10583,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
56,3,206297,2,9,7,4,4.000,4.0,4,0.95660,0.69004,0.0000,0.094389,1
57,4,241586,1,1,1,5,5.000,5.0,5,1.40713,0.87430,0.0000,0.000000,0
58,4,241586,1,2,4411,1,1.829,2.0,2,0.52648,0.75954,0.1762,0.000043,0
59,4,241586,1,3,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
60,4,241586,1,4,4411,2,2.653,3.0,5,0.88450,0.94537,0.0011,0.000524,0
61,4,241586,1,5,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
62,4,241586,1,6,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
63,4,241586,1,7,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
64,4,241586,1,8,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
65,4,241586,1,9,4411,2,2.000,2.0,2,0.65970,0.95174,0.0000,0.000749,0
66,4,241586,2,1,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
67,4,241586,2,2,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
68,4,241586,2,3,4411,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
69,4,241586,2,4,1,5,5.000,5.0,5,1.56355,0.97149,0.0000,0.093197,1
70,5,324278,1,1,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
71,5,324278,1,2,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
72,5,324278,1,3,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
73,5,324278,1,4,10333,1,1.958,2.0,2,0.16477,0.23771,0.7887,0.000009,0
74,5,324278,1,5,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
75,5,324278,1,6,10333,2,2.405,2.0,4,0.39501,0.40715,0.5696,0.000061,0
76,5,324278,1,7,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
77,5,324278,1,8,10333,2,2.000,2.0,2,0.17821,0.25710,0.7822,0.000224,0
78,5,324278,2,1,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
79,5,324278,2,2,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
80,5,324278,2,3,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
81,5,324278,2,4,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
82,5,324278,2,5,10333,2,2.405,2.0,4,0.42798,0.45515,0.5696,0.010414,0
83,5,324278,2,6,10333,2,2.000,2.0,2,0.23531,0.33948,0.5256,0.009417,0
84,5,324278,2,7,10333,1,1.958,2.0,2,0.24614,0.35511,0.2195,0.014875,0
85,5,324278,2,8,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
86,5,324278,3,1,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
87,5,324278,3,2,10333,1,1.000,1.0,1,0.00000,0.00000,1.0000,0.000000,0
88,5,324278,3,3,10333,1,1.958,2.0,2,0.34600,0.49917,0.2225,0.058141,1
89,6,373525,1,1,6152,2,2.828,3.0,3,0.77229,0.74669,0.0410,0.004807,0
90,6,373525,1,2,6152,4,4.000,4.0,4,1.09696,0.79129,0.0029,0.002667,0
91,6,373525,1,3,6152,3,3.029,3.0,4,0.78550,0.70956,0.0322,0.005015,0
92,6,373525,1,4,6152,5,5.000,5.0,5,1.35155,0.83976,0.0000,0.002778,0
